input,output,label,source,__text__
我想咨询一下您的银行业务，能否提供专业的服务?,您可以通过电话或来到网点咨询，我们将竭诚为您提供帮助。,synthetic,synthetic,我想咨询一下您的银行业务，能否提供专业的服务? || 您可以通过电话或来到网点咨询，我们将竭诚为您提供帮助。
我想咨询一下银行卡的存款利率?,存款利率可能随时点政策与产品而变动，请以网点公告或 App‘存款-产品详情-利率说明’为准。若需大额存单或专项产品，请咨询人工了解当前政策。,synthetic,synthetic,我想咨询一下银行卡的存款利率? || 存款利率可能随时点政策与产品而变动，请以网点公告或 App‘存款-产品详情-利率说明’为准。若需大额存单或专项产品，请咨询人工了解当前政策。
我想咨询一下银行卡的额度管理规则？,您可在 App '信用卡-额度管理'页面提交申请，结果以系统显示为准。,synthetic,synthetic,我想咨询一下银行卡的额度管理规则？ || 您可在 App '信用卡-额度管理'页面提交申请，结果以系统显示为准。
我想开个信用卡，申请什么?,"您可以在""XX银行App-产品与服务""页面浏览我们的各类贷款方案，选择合适的产品，并提交申请。",synthetic,synthetic,"我想开个信用卡，申请什么? || 您可以在""XX银行App-产品与服务""页面浏览我们的各类贷款方案，选择合适的产品，并提交申请。"
我想开卡，但是需要准备什么？,请先在网点填写开户申请表格，准备身份证和其他必要材料后再办理开卡。,synthetic,synthetic,我想开卡，但是需要准备什么？ || 请先在网点填写开户申请表格，准备身份证和其他必要材料后再办理开卡。
我想开启手机短信服务，需要准备什么?,请在'app'中提交申请，并根据页面指引进行实名认证和绑定银行卡,synthetic,synthetic,我想开启手机短信服务，需要准备什么? || 请在'app'中提交申请，并根据页面指引进行实名认证和绑定银行卡
我想开启短信服务，需要准备什么？,请在'XX银行App-我的-消息服务'页面提交申请，结果以系统显示为准；如需临时短信，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想开启短信服务，需要准备什么？ || 请在'XX银行App-我的-消息服务'页面提交申请，结果以系统显示为准；如需临时短信，请按页面指引申请并留意到期恢复。
我想开户，你们有哪些账户类型?,我们提供个人账户、企业账户和基金账户等多种类型的账户，您可以在‘银行官网-产品中心’或‘XX银行App-新手指南’页面查看详细信息,synthetic,synthetic,我想开户，你们有哪些账户类型? || 我们提供个人账户、企业账户和基金账户等多种类型的账户，您可以在‘银行官网-产品中心’或‘XX银行App-新手指南’页面查看详细信息
我想开设一份个人贷款账户，但是不清楚需要准备什么?,您可以在'XX银行App-贷款申请'页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想开设一份个人贷款账户，但是不清楚需要准备什么? || 您可以在'XX银行App-贷款申请'页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
我想开通信用卡的办理流程是?,您可以在'XX银行App-服务中心'页面查看相关服务，或者拨打955xx客服电话咨询信用卡开户流程。,synthetic,synthetic,我想开通信用卡的办理流程是? || 您可以在'XX银行App-服务中心'页面查看相关服务，或者拨打955xx客服电话咨询信用卡开户流程。
我想开通信用卡，但银行要求提供身份证和收入证明。,开卡申请受用卡记录与风险政策影响，具体详细资料需您本人携带相关文件到网点咨询或在线提交应用并按照系统提示信息来填写申请表。,synthetic,synthetic,我想开通信用卡，但银行要求提供身份证和收入证明。 || 开卡申请受用卡记录与风险政策影响，具体详细资料需您本人携带相关文件到网点咨询或在线提交应用并按照系统提示信息来填写申请表。
我想开通信用卡，需要准备什么?,请先申请并填写相关资料，系统会评估您的信用记录和风险政策。具体要求以银行官网或柜台公告为准。,synthetic,synthetic,我想开通信用卡，需要准备什么? || 请先申请并填写相关资料，系统会评估您的信用记录和风险政策。具体要求以银行官网或柜台公告为准。
我想开通网银服务?,请登录‘XX银行App’，进入‘账户管理’页面，点击‘网银绑定’按钮，完成相关操作即可,synthetic,synthetic,我想开通网银服务? || 请登录‘XX银行App’，进入‘账户管理’页面，点击‘网银绑定’按钮，完成相关操作即可
我想开通网银服务，但是网点附近好像有施工。会不会影响到我的网银服务？,施工可能会暂时影响到部分服务，请您尽量选择其他时间段，或者联系客户服务人员咨询详细情况。,synthetic,synthetic,我想开通网银服务，但是网点附近好像有施工。会不会影响到我的网银服务？ || 施工可能会暂时影响到部分服务，请您尽量选择其他时间段，或者联系客户服务人员咨询详细情况。
我想开通网银服务，需要准备什么?,请先注册个人银行卡账户，然后在'我的-账户管理-网银服务'页面提交申请；如线上不通过，请携带身份证原件至网点办理。,synthetic,synthetic,我想开通网银服务，需要准备什么? || 请先注册个人银行卡账户，然后在'我的-账户管理-网银服务'页面提交申请；如线上不通过，请携带身份证原件至网点办理。
我想开通网银服务，需要准备什么？,请先注册个人银行卡账户，然后在'我的-账户管理-网银服务'页面提交申请；如线上不通过，请携带身份证原件至网点办理。,synthetic,synthetic,我想开通网银服务，需要准备什么？ || 请先注册个人银行卡账户，然后在'我的-账户管理-网银服务'页面提交申请；如线上不通过，请携带身份证原件至网点办理。
我想开通网银服务？,请在 'XX银行App-账户管理' 页面提交申请，结果以系统显示为准；如需帮助，可直接致电客服热线咨询。,synthetic,synthetic,我想开通网银服务？ || 请在 'XX银行App-账户管理' 页面提交申请，结果以系统显示为准；如需帮助，可直接致电客服热线咨询。
我想开通网银认证，需要准备什么?,请在 'XX银行App-网银认证' 页面提交申请，结果以系统显示为准；如需临时认证，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想开通网银认证，需要准备什么? || 请在 'XX银行App-网银认证' 页面提交申请，结果以系统显示为准；如需临时认证，请按页面指引申请并留意到期恢复。
我想开通银行的信用卡服务,您可以在‘XX银行App-产品中心’页面浏览相关服务介绍，并提交申请，系统会根据您的信息进行审核和确认。审核通过后，您即可开通信用卡服务并领取物理卡片,synthetic,synthetic,我想开通银行的信用卡服务 || 您可以在‘XX银行App-产品中心’页面浏览相关服务介绍，并提交申请，系统会根据您的信息进行审核和确认。审核通过后，您即可开通信用卡服务并领取物理卡片
我想把美元换成人民币，但是没有余额，可以换吗?,"个人年度购汇额度受监管政策限制，剩余额度和用途要求请在""外汇-购汇""页面查看，如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。",synthetic,synthetic,"我想把美元换成人民币，但是没有余额，可以换吗? || 个人年度购汇额度受监管政策限制，剩余额度和用途要求请在""外汇-购汇""页面查看，如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。"
我想报一下银行的卡丢失情况？,"您可以通过XX银行App中的""我的-账户管理-卡片丢失""页面申请，或者直接致电热线955xx选择对应按键",synthetic,synthetic,"我想报一下银行的卡丢失情况？ || 您可以通过XX银行App中的""我的-账户管理-卡片丢失""页面申请，或者直接致电热线955xx选择对应按键"
我想换一张储蓄卡，需要准备什么？,请携带身份证原件至网点办理注销，并提前清空余额、取消代扣与绑订业务。,synthetic,synthetic,我想换一张储蓄卡，需要准备什么？ || 请携带身份证原件至网点办理注销，并提前清空余额、取消代扣与绑订业务。
我想换取人民币$,您可以在 '外汇-兑换' 页面查看兑换率和额度限制，具体以产品条款为准。,synthetic,synthetic,我想换取人民币$ || 您可以在 '外汇-兑换' 页面查看兑换率和额度限制，具体以产品条款为准。
我想换外汇，需要准备什么?,个人年度购汇额度受监管政策限制，请在‘外汇-购汇’页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。,synthetic,synthetic,我想换外汇，需要准备什么? || 个人年度购汇额度受监管政策限制，请在‘外汇-购汇’页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。
我想换美元成人民币，有没有额度限制？,个人年度购汇额度受监管政策限制，请在‘外汇-购汇’页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。,synthetic,synthetic,我想换美元成人民币，有没有额度限制？ || 个人年度购汇额度受监管政策限制，请在‘外汇-购汇’页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。
我想换美元，但有没有额度限制?,个人年度购汇额度受监管政策限制，请在‘外汇-购汇’页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。,synthetic,synthetic,我想换美元，但有没有额度限制? || 个人年度购汇额度受监管政策限制，请在‘外汇-购汇’页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。
我想换美元，能查一下剩余额度吗？,个人年度购汇额度受监管政策限制，请在‘外汇-购汇’页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。,synthetic,synthetic,我想换美元，能查一下剩余额度吗？ || 个人年度购汇额度受监管政策限制，请在‘外汇-购汇’页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。
我想提现到微信支付宝，需要准备什么？,请在'XX银行App-提现管理'页面提交申请，结果以系统显示为准；如需临时提现，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想提现到微信支付宝，需要准备什么？ || 请在'XX银行App-提现管理'页面提交申请，结果以系统显示为准；如需临时提现，请按页面指引申请并留意到期恢复。
我想提醒银行一下卡片过期了？,您可以在 XX 银行 App 中的 '我的 - 卡片管理' 页面更换有效期或联系人工客服,synthetic,synthetic,我想提醒银行一下卡片过期了？ || 您可以在 XX 银行 App 中的 '我的 - 卡片管理' 页面更换有效期或联系人工客服
我想提问一下，银行卡的安全性怎么样？,我们银行严格遵守各项安全规定，确保您的银行卡信息和资金安全。如有任何疑虑，请联系我们的客服人员，我们会竭诚为您服务。,synthetic,synthetic,我想提问一下，银行卡的安全性怎么样？ || 我们银行严格遵守各项安全规定，确保您的银行卡信息和资金安全。如有任何疑虑，请联系我们的客服人员，我们会竭诚为您服务。
我想更换我的身份证复印件?,请携带相关材料到网点办理，更改后将自动同步至系统。,synthetic,synthetic,我想更换我的身份证复印件? || 请携带相关材料到网点办理，更改后将自动同步至系统。
我想更改我的联系方式，但不知道如何操作？,请在‘我的-账户管理-基本信息修改’页面提交申请，系统会指导您一步步完成修改。如线上不通过，请携带身份证原件至网点办理。,synthetic,synthetic,我想更改我的联系方式，但不知道如何操作？ || 请在‘我的-账户管理-基本信息修改’页面提交申请，系统会指导您一步步完成修改。如线上不通过，请携带身份证原件至网点办理。
我想查一下我的信用卡余额,"请在 App ""我的-账户管理"" 中查询您的当前信用卡余额；如需电话服务，欢迎拨打客服热线 955xx。",synthetic,synthetic,"我想查一下我的信用卡余额 || 请在 App ""我的-账户管理"" 中查询您的当前信用卡余额；如需电话服务，欢迎拨打客服热线 955xx。"
我想查一下我的账户余额?,请在 '我的-账户管理' 页面查看您的当前账户余额，结果以系统显示为准。,synthetic,synthetic,我想查一下我的账户余额? || 请在 '我的-账户管理' 页面查看您的当前账户余额，结果以系统显示为准。
我想查一下我的账户余额？,您可以在我们的app中选择‘我的’功能，查看您的账户余额和历史记录。如需疑问，请联系人工客服。,synthetic,synthetic,我想查一下我的账户余额？ || 您可以在我们的app中选择‘我的’功能，查看您的账户余额和历史记录。如需疑问，请联系人工客服。
我想查一下我的银行卡的额度限制?,个人年度购汇额度受监管政策限制，请在“外汇-购汇”页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。,synthetic,synthetic,我想查一下我的银行卡的额度限制? || 个人年度购汇额度受监管政策限制，请在“外汇-购汇”页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。
我想查一下最近一年的账单,为保护您的隐私，我们无法直接查看您的账务。请在‘XX银行App-账单/明细’按月份查询，或导出对账单；如需发票/凭证，可在明细页申请。,synthetic,synthetic,我想查一下最近一年的账单 || 为保护您的隐私，我们无法直接查看您的账务。请在‘XX银行App-账单/明细’按月份查询，或导出对账单；如需发票/凭证，可在明细页申请。
我想查看我的个人银行卡账户信息.,您可以在'XX银行App-账户管理'页面查阅您的账户信息，或拨打955xx客服电话咨询。,synthetic,synthetic,我想查看我的个人银行卡账户信息. || 您可以在'XX银行App-账户管理'页面查阅您的账户信息，或拨打955xx客服电话咨询。
我想查看我的信用卡额度?,请在‘信用卡-额度管理’页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想查看我的信用卡额度? || 请在‘信用卡-额度管理’页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
我想查看我的卡片余额，需要哪些材料?,"您可以在""XX银行App-账户管理-余额查询""页面查看您的卡片余额；如有问题，请联系人工协助处理。",synthetic,synthetic,"我想查看我的卡片余额，需要哪些材料? || 您可以在""XX银行App-账户管理-余额查询""页面查看您的卡片余额；如有问题，请联系人工协助处理。"
我想查询一下我的账户余额是多少?,您可以在'XX银行App-账户管理'页面查看您的账户信息，具体包括您的账户余额、可用金额等。,synthetic,synthetic,我想查询一下我的账户余额是多少? || 您可以在'XX银行App-账户管理'页面查看您的账户信息，具体包括您的账户余额、可用金额等。
我想查询一下我的银行卡的余额.,"您可以在 App 中""账户管理""中查看您的当前余额，或者联系我们的客服人员，我们会帮助您查詢。",synthetic,synthetic,"我想查询一下我的银行卡的余额. || 您可以在 App 中""账户管理""中查看您的当前余额，或者联系我们的客服人员，我们会帮助您查詢。"
我想查询一下我的银行卡的消费明细.,您可以在'XX银行App-账户管理'页面查看您的当前消费明细，或拨打955xx热线咨询.,synthetic,synthetic,我想查询一下我的银行卡的消费明细. || 您可以在'XX银行App-账户管理'页面查看您的当前消费明细，或拨打955xx热线咨询.
我想查询我的信用卡的积分,您可以在‘信用卡-积分管理’页面查看您的当前积分，或前往网点咨询。,synthetic,synthetic,我想查询我的信用卡的积分 || 您可以在‘信用卡-积分管理’页面查看您的当前积分，或前往网点咨询。
我想查询我的存款利率是什么？,存款利率可能随时点政策与产品而变动，请以网点公告或 App‘存款-产品详情-利率说明’为准。若需大额存单或专项产品，请咨询人工了解当前政策。,synthetic,synthetic,我想查询我的存款利率是什么？ || 存款利率可能随时点政策与产品而变动，请以网点公告或 App‘存款-产品详情-利率说明’为准。若需大额存单或专项产品，请咨询人工了解当前政策。
我想查询我的账单记录，但如何查询呢?,您可以在‘XX银行App-账户管理’页面查看您的当前绑定信息，或拨打955xx热线咨询，工作人员会协助处理相关事项,synthetic,synthetic,我想查询我的账单记录，但如何查询呢? || 您可以在‘XX银行App-账户管理’页面查看您的当前绑定信息，或拨打955xx热线咨询，工作人员会协助处理相关事项
我想查询我的账户余额.,您可以在 'XX银行App-账户管理' 页面查看您的当前余额，或拨打 955xx 热线咨询。,synthetic,synthetic,我想查询我的账户余额. || 您可以在 'XX银行App-账户管理' 页面查看您的当前余额，或拨打 955xx 热线咨询。
我想查询我的账户余额?,您可以在XX银行App-账单/明细页面中按月份查询您的账务，或者通过导出对账单进行查看。如需发票/凭证，请在明细页申请,synthetic,synthetic,我想查询我的账户余额? || 您可以在XX银行App-账单/明细页面中按月份查询您的账务，或者通过导出对账单进行查看。如需发票/凭证，请在明细页申请
我想查询我的账户密码?,请先进入 'XX银行App-安全中心' 页面，点击 '忘记密码' 按钮，并按照系统指引完成重置流程。,synthetic,synthetic,我想查询我的账户密码? || 请先进入 'XX银行App-安全中心' 页面，点击 '忘记密码' 按钮，并按照系统指引完成重置流程。
我想查询我的银行卡余额?,您可以在'XX银行App-账户管理-账户信息'页面查看您的银行卡余额，结果以系统显示为准。,synthetic,synthetic,我想查询我的银行卡余额? || 您可以在'XX银行App-账户管理-账户信息'页面查看您的银行卡余额，结果以系统显示为准。
我想查询我的银行卡的余额是多少？,请在'账户管理-账户明细'页面查看您的当前余额，或拨打955xx热线咨询。,synthetic,synthetic,我想查询我的银行卡的余额是多少？ || 请在'账户管理-账户明细'页面查看您的当前余额，或拨打955xx热线咨询。
我想查询我的银行账户余额?,您可以在'XX银行App-账户管理'页面查看当前余额，或者拨打955xx客服电话咨询。,synthetic,synthetic,我想查询我的银行账户余额? || 您可以在'XX银行App-账户管理'页面查看当前余额，或者拨打955xx客服电话咨询。
我想申请信用卡需要准备什么?,请先查看是否符合申请条件，然后在'我的-账户管理-信用卡申请'页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想申请信用卡需要准备什么? || 请先查看是否符合申请条件，然后在'我的-账户管理-信用卡申请'页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
我想申请信用卡额度升级，需要准备什么？,请在'XX银行App-额度管理'页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想申请信用卡额度升级，需要准备什么？ || 请在'XX银行App-额度管理'页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
我想申请信用卡额度提升？,请在 'XX银行App-额度管理' 页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想申请信用卡额度提升？ || 请在 'XX银行App-额度管理' 页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
我想申请信用卡额度提高，但担心影响我的信誉分数?,您的信誉分数会根据您的使用习惯和还款记录进行调整，不需要担心额度提高会直接影响您的信誉分数。请在'信用卡-额度管理'页面提交申请，系统会评估并给出建议。,synthetic,synthetic,我想申请信用卡额度提高，但担心影响我的信誉分数? || 您的信誉分数会根据您的使用习惯和还款记录进行调整，不需要担心额度提高会直接影响您的信誉分数。请在'信用卡-额度管理'页面提交申请，系统会评估并给出建议。
我想申请信用卡额度调整，但不知道怎么做？,请在‘信用卡-额度管理’页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想申请信用卡额度调整，但不知道怎么做？ || 请在‘信用卡-额度管理’页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
我想申请信用卡，需要准备什么?,请在 '信用卡-额度管理' 页面提交申请，结果以系统显示为准。,synthetic,synthetic,我想申请信用卡，需要准备什么? || 请在 '信用卡-额度管理' 页面提交申请，结果以系统显示为准。
我想申请储蓄卡，需要准备什么?,请先准备身份证和联系方式信息，在'XX银行App-开户管理'页面提交申请，结果以系统显示为准。,synthetic,synthetic,我想申请储蓄卡，需要准备什么? || 请先准备身份证和联系方式信息，在'XX银行App-开户管理'页面提交申请，结果以系统显示为准。
我想申请开通银行网银,请在 'XX银行App-服务管理' 页面进行申请，并提交相关材料后，系统将自动审核。具体详请查看帮助中心文档或与客服人员联系。,synthetic,synthetic,我想申请开通银行网银 || 请在 'XX银行App-服务管理' 页面进行申请，并提交相关材料后，系统将自动审核。具体详请查看帮助中心文档或与客服人员联系。
我想申请手机银行服务需要准备什么?,请在'XX银行App-服务管理'页面提交申请，结果以系统显示为准；如需临时卡，按页面指引申请并留意到期恢复。,synthetic,synthetic,我想申请手机银行服务需要准备什么? || 请在'XX银行App-服务管理'页面提交申请，结果以系统显示为准；如需临时卡，按页面指引申请并留意到期恢复。
我想申请职员卡的还款额度，需要准备什么?,请在'XX银行App-额度管理'页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想申请职员卡的还款额度，需要准备什么? || 请在'XX银行App-额度管理'页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
我想申请贷款但是银行没有给我任何信息,您可以在'我的- 贷款申请'页面查看是否符合条件，并联系人工客服了解详细流程,synthetic,synthetic,我想申请贷款但是银行没有给我任何信息 || 您可以在'我的- 贷款申请'页面查看是否符合条件，并联系人工客服了解详细流程
我想申请退还信用卡消费金额,您可以在'XX银行App-额度管理'页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想申请退还信用卡消费金额 || 您可以在'XX银行App-额度管理'页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
我想知道为什么我的账户被冻结,您的账户可能因非正常交易或身份验证失败而被暂停使用。请在‘XX银行App-安全中心’查看原因并按照提示进行解锁；如仍未能成功，请联系人工客服协助处理,synthetic,synthetic,我想知道为什么我的账户被冻结 || 您的账户可能因非正常交易或身份验证失败而被暂停使用。请在‘XX银行App-安全中心’查看原因并按照提示进行解锁；如仍未能成功，请联系人工客服协助处理
我想知道什么时候可以提现我的积分?,提现时间根据系统处理规则决定，具体请参考我们网站或app中的说明。如果您需要帮助，可以联系我们的客服人员。,synthetic,synthetic,我想知道什么时候可以提现我的积分? || 提现时间根据系统处理规则决定，具体请参考我们网站或app中的说明。如果您需要帮助，可以联系我们的客服人员。
我想知道什么是银行卡的额度管理规则?,您可以在 'XX银行App-账户管理' 页面查看当前额度，或者通过电话热线 955xx 咨询工作人员，具体调整流程以系统显示为准。,synthetic,synthetic,我想知道什么是银行卡的额度管理规则? || 您可以在 'XX银行App-账户管理' 页面查看当前额度，或者通过电话热线 955xx 咨询工作人员，具体调整流程以系统显示为准。
我想知道什么是银行卡的额度限制?,个人年度购汇额度受监管政策限制，请在‘外汇-购汇’页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。,synthetic,synthetic,我想知道什么是银行卡的额度限制? || 个人年度购汇额度受监管政策限制，请在‘外汇-购汇’页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。
我想知道信用卡的积分兑换规则是多少?,您可以在'XX银行App-产品详情-积分兑换'页面查看相关信息，或拨打955xx热线咨询。,synthetic,synthetic,我想知道信用卡的积分兑换规则是多少? || 您可以在'XX银行App-产品详情-积分兑换'页面查看相关信息，或拨打955xx热线咨询。
我想知道信用卡的额度调整流程?,请在 'XX银行App-额度管理' 页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想知道信用卡的额度调整流程? || 请在 'XX银行App-额度管理' 页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
我想知道信用卡积分兑换规则？,请在 XX 银行 App 的 '积分中心' 页面查看兑换规则，或拨打 955xx 热线咨询,synthetic,synthetic,我想知道信用卡积分兑换规则？ || 请在 XX 银行 App 的 '积分中心' 页面查看兑换规则，或拨打 955xx 热线咨询
我想知道信用卡积分可以兑换成现金么?,您可在 'XX银行App-权益与红利' 页面查看当前兑换活动，输入您的账号和密码后即可登录；具体金额以产品条款为准。,synthetic,synthetic,我想知道信用卡积分可以兑换成现金么? || 您可在 'XX银行App-权益与红利' 页面查看当前兑换活动，输入您的账号和密码后即可登录；具体金额以产品条款为准。
我想知道储蓄卡有哪些额度?,"个人年度购汇额度受监管政策限制，请在""XX银行App-购汇管理""页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。",synthetic,synthetic,"我想知道储蓄卡有哪些额度? || 个人年度购汇额度受监管政策限制，请在""XX银行App-购汇管理""页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。"
我想知道如何使用银行自助服务?,您可以在 'XX银行App' 中找到相关功能，包括账户查询、转账、付款等。如需帮助，请联系客服热线或前往网点咨询。,synthetic,synthetic,我想知道如何使用银行自助服务? || 您可以在 'XX银行App' 中找到相关功能，包括账户查询、转账、付款等。如需帮助，请联系客服热线或前往网点咨询。
我想知道如何在线开通网银服务?,请先注册个人银行卡账户，然后在'我的-账户管理-网银服务'页面提交申请；如线上不通过，请携带身份证原件至网点办理。,synthetic,synthetic,我想知道如何在线开通网银服务? || 请先注册个人银行卡账户，然后在'我的-账户管理-网银服务'页面提交申请；如线上不通过，请携带身份证原件至网点办理。
我想知道如何联系人工客服?,请在 App 底部‘客服中心’输入‘人工客服’或拨打 955xx，工作时间 9:00-18:00 接入更快；如遇挂失/盗刷等紧急事项，请直接致电热线选择对应按键。,synthetic,synthetic,我想知道如何联系人工客服? || 请在 App 底部‘客服中心’输入‘人工客服’或拨打 955xx，工作时间 9:00-18:00 接入更快；如遇挂失/盗刷等紧急事项，请直接致电热线选择对应按键。
我想知道如何解决转账失败的问题？,部分异常会触发风控复核或退汇，请在‘转账记录’查看状态；如 24 小时内未入账或退回，请联系人工协查。,synthetic,synthetic,我想知道如何解决转账失败的问题？ || 部分异常会触发风控复核或退汇，请在‘转账记录’查看状态；如 24 小时内未入账或退回，请联系人工协查。
我想知道如何转账到我的银行卡中?,您可以在我们的app中选择‘转账’功能，并输入对方的银行账号、金额以及其他必要信息，进行确认后即可完成转账。,synthetic,synthetic,我想知道如何转账到我的银行卡中? || 您可以在我们的app中选择‘转账’功能，并输入对方的银行账号、金额以及其他必要信息，进行确认后即可完成转账。
我想知道如何转账到朋友的银行卡，但App提示人脸识别失败，怎么解决？,请在光线充足环境下正对摄像头，清除摄像头污渍并关闭强美颜/滤镜后重试；仍失败可在 '我的-安全中心-人工核验' 提交资料，或携带身份证至网点协助处理。,synthetic,synthetic,我想知道如何转账到朋友的银行卡，但App提示人脸识别失败，怎么解决？ || 请在光线充足环境下正对摄像头，清除摄像头污渍并关闭强美颜/滤镜后重试；仍失败可在 '我的-安全中心-人工核验' 提交资料，或携带身份证至网点协助处理。
我想知道如何通过手机银行app查看我的存款账户?,您可以在‘XX银行App-存款’页面中查看您的存款账户，输入您的账号和密码后即可登录。,synthetic,synthetic,我想知道如何通过手机银行app查看我的存款账户? || 您可以在‘XX银行App-存款’页面中查看您的存款账户，输入您的账号和密码后即可登录。
我想知道存款利率有哪些?,存款利率可能随时点政策与产品而变动，请以网点公告或 App“存款-产品详情-利率说明”为准。若需大额存单或专项产品，请咨询人工了解当前政策。,synthetic,synthetic,我想知道存款利率有哪些? || 存款利率可能随时点政策与产品而变动，请以网点公告或 App“存款-产品详情-利率说明”为准。若需大额存单或专项产品，请咨询人工了解当前政策。
我想知道我的信用卡的余额是多少?,您可以在 'XX银行App-账户管理' 页面查看您的当前余额，或者通过电话热线 955xx 咨询工作人员,synthetic,synthetic,我想知道我的信用卡的余额是多少? || 您可以在 'XX银行App-账户管理' 页面查看您的当前余额，或者通过电话热线 955xx 咨询工作人员
我想知道我的信用卡积分余额?,您可以在 'XX银行App-账户管理' 页面查看当前积分余额，或者通过电话热线 955xx 咨询工作人员,synthetic,synthetic,我想知道我的信用卡积分余额? || 您可以在 'XX银行App-账户管理' 页面查看当前积分余额，或者通过电话热线 955xx 咨询工作人员
我想知道我的信用卡积分能兑换成什么?,您可以在 'XX银行App-产品详情-积分兑换' 页面查看相关信息，或拨打955xx热线咨询。,synthetic,synthetic,我想知道我的信用卡积分能兑换成什么? || 您可以在 'XX银行App-产品详情-积分兑换' 页面查看相关信息，或拨打955xx热线咨询。
我想知道我的信用卡账户余额？,您可以在 XX银行App-账户管理 页面查看当前余额，或者通过电话热线 955xx 咨询工作人员,synthetic,synthetic,我想知道我的信用卡账户余额？ || 您可以在 XX银行App-账户管理 页面查看当前余额，或者通过电话热线 955xx 咨询工作人员
我想知道我的信用卡还剩余多少额度?,您可以在'信用卡-额度管理'页面查看当前额度与可用额度；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想知道我的信用卡还剩余多少额度? || 您可以在'信用卡-额度管理'页面查看当前额度与可用额度；如需临时额度，请按页面指引申请并留意到期恢复。
我想知道我的信用卡额度剩余多少？,您可在‘信用卡-额度管理’页面查看当前额度与用途要求；如有疑问，请联系人工咨询。,synthetic,synthetic,我想知道我的信用卡额度剩余多少？ || 您可在‘信用卡-额度管理’页面查看当前额度与用途要求；如有疑问，请联系人工咨询。
我想知道我的信用卡额度是否已经提升?,请在 '信用卡-额度管理' 页面查看最新的额度，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想知道我的信用卡额度是否已经提升? || 请在 '信用卡-额度管理' 页面查看最新的额度，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
